# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -733.80000000 ps, Average over 3000 waveforms. Timestamp: 2025-11-05T15:49:28
# Window type: Tukey, parameters: alpha = 0.1, thickness 0.5 mm
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
3.44995694	-60.74319162
3.46476362	-59.34782688
3.47957030	-62.02627851
3.49437699	-65.05682497
3.50918367	-62.26537236
3.52399035	-65.38108764
3.53879703	-75.46243688
3.55360371	-63.06659636
3.56841040	-62.14064890
3.58321708	-66.07821487
3.59802376	-73.06586765
3.61283044	-74.52182713
3.62763713	-75.52870272
3.64244381	-81.90551394
3.65725049	-85.44568895
3.67205717	-78.00371822
3.68686385	-71.33797183
3.70167054	-66.23607085
3.71647722	-63.90900805
3.73128390	-63.75239605
3.74609058	-64.61284593
3.76089726	-66.24249696
3.77570395	-70.14608810
3.79051063	-77.32685437
3.80531731	-78.77436245
3.82012399	-76.15380655
3.83493068	-71.82060319
3.84973736	-68.85536535
3.86454404	-66.93970893
3.87935072	-65.69372529
3.89415740	-65.35965818
3.90896409	-66.43638245
3.92377077	-69.33923251
3.93857745	-74.25033533
3.95338413	-83.30118742
3.96819081	-94.84985640
3.98299750	-88.42727395
3.99780418	-81.64196409
4.01261086	-74.27713856
4.02741754	-70.61533802
4.04222423	-70.22076229
4.05703091	-72.02712296
4.07183759	-72.46504602
4.08664427	-70.30959074
4.10145095	-69.61917818
4.11625764	-70.64655105
4.13106432	-73.30712231
4.14587100	-79.31786858
4.16067768	-94.06627286
4.17548436	-86.93024157
4.19029105	-88.03680698
4.20509773	-100.38782840
4.21990441	-89.30654747
4.23471109	-82.52651954
4.24951778	-76.08784949
4.26432446	-72.80449714
4.27913114	-71.69572130
4.29393782	-72.53208986
4.30874450	-73.26585290
4.32355119	-73.30602922
4.33835787	-74.14359121
4.35316455	-74.00571287
4.36797123	-73.17503103
4.38277791	-73.70972811
4.39758460	-74.50574032
4.41239128	-74.73232216
4.42719796	-76.95917350
4.44200464	-83.53151654
4.45681133	-84.94952853
4.47161801	-92.24635340
4.48642469	-88.42205290
4.50123137	-93.62923662
4.51603805	-93.92461679
4.53084474	-101.96892695
4.54565142	-93.99398452
4.56045810	-99.80293608
4.57526478	-92.69557689
4.59007146	-91.31004246
4.60487815	-107.17638783
4.61968483	-87.70097401
4.63449151	-83.85291004
4.64929819	-85.00037765
