# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -733.80000000 ps, Average over 3000 waveforms. Timestamp: 2025-11-05T16:03:36
# Window type: Tukey, parameters: alpha = 0.1, thickness 0.2 mm
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
3.44995694	-94.48946187
3.46476362	-95.96532160
3.47957030	-90.74259297
3.49437699	-99.11028040
3.50918367	-101.05749503
3.52399035	-98.94377912
3.53879703	-97.45476489
3.55360371	-99.06776563
3.56841040	-106.24883251
3.58321708	-98.94805617
3.59802376	-97.46401513
3.61283044	-104.96303661
3.62763713	-98.02110845
3.64244381	-89.71158709
3.65725049	-87.95289896
3.67205717	-100.56239797
3.68686385	-102.34719792
3.70167054	-92.63682775
3.71647722	-86.93867153
3.73128390	-92.10256684
3.74609058	-85.31066278
3.76089726	-88.15105023
3.77570395	-104.87904907
3.79051063	-100.91776963
3.80531731	-93.73511991
3.82012399	-93.73668145
3.83493068	-98.20763141
3.84973736	-95.92595386
3.86454404	-96.01504654
3.87935072	-96.03901699
3.89415740	-104.31411388
3.90896409	-98.65883720
3.92377077	-98.66887373
3.93857745	-93.57334327
3.95338413	-89.63265956
3.96819081	-91.23349997
3.98299750	-96.93507405
3.99780418	-92.63809050
4.01261086	-98.34271426
4.02741754	-109.13698362
4.04222423	-91.82208135
4.05703091	-91.82237087
4.07183759	-97.27193776
4.08664427	-93.06268465
4.10145095	-113.72135536
4.11625764	-99.85111026
4.13106432	-95.74326265
4.14587100	-89.68380513
4.16067768	-97.89483311
4.17548436	-94.32641951
4.19029105	-98.53439582
4.20509773	-89.36596447
4.21990441	-90.16803039
4.23471109	-92.30337765
4.24951778	-88.83349166
4.26432446	-92.80877595
4.27913114	-86.97863251
4.29393782	-104.64156273
4.30874450	-90.61803556
4.32355119	-102.74679015
4.33835787	-92.57099266
4.35316455	-94.84950862
4.36797123	-94.26604475
4.38277791	-100.77839821
4.39758460	-91.13041412
4.41239128	-88.72267556
4.42719796	-95.79926200
4.44200464	-91.19717033
4.45681133	-88.87736564
4.47161801	-99.27328921
4.48642469	-86.77042859
4.50123137	-90.91319291
4.51603805	-91.60683638
4.53084474	-93.47585046
4.54565142	-90.04534766
4.56045810	-91.87967053
4.57526478	-94.79794249
4.59007146	-91.51662107
4.60487815	-92.62896207
4.61968483	-87.98592279
4.63449151	-92.98224196
4.64929819	-99.91709907
4.66410488	-94.28432461
4.67891156	-95.83074974
4.69371824	-100.73420426
4.70852492	-92.30687133
4.72333160	-96.51342551
4.73813829	-98.76007673
4.75294497	-93.29559403
4.76775165	-96.69015920
4.78255833	-117.63645726
4.79736501	-101.44844895
4.81217170	-99.13112301
4.82697838	-105.31455378
4.84178506	-115.25080323
4.85659174	-98.37329316
4.87139843	-93.65150240
4.88620511	-95.52684740
4.90101179	-98.02847758
4.91581847	-104.35128884
4.93062515	-105.27144144
4.94543184	-100.83238434
4.96023852	-94.81658815
4.97504520	-94.10487161
4.98985188	-94.05823767
5.00465856	-102.63279190
5.01946525	-94.47489779
5.03427193	-91.12404015
5.04907861	-93.53899162
5.06388529	-99.16280979
5.07869198	-90.93378994
5.09349866	-93.02397953
5.10830534	-100.13552178
5.12311202	-93.34905901
5.13791870	-101.44574943
5.15272539	-92.59776892
5.16753207	-95.29940384
5.18233875	-103.84340649
5.19714543	-115.70359443
5.21195211	-99.53406677
5.22675880	-96.33819930
5.24156548	-96.23793378
5.25637216	-97.68201281
5.27117884	-91.56534305
5.28598553	-94.89138487
5.30079221	-112.52791528
5.31559889	-103.27858235
5.33040557	-95.53625980
5.34521225	-98.10341367
5.36001894	-88.07206729
5.37482562	-90.21709565
5.38963230	-94.32114992
5.40443898	-88.44857377
5.41924567	-91.13110297
