# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -733.80000000 ps, Average over 3000 waveforms. Timestamp: 2025-11-05T15:49:28
# Window type: Tukey, parameters: alpha = 0.1, thickness 0.5 mm
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-726.21156463	-0.00413562
-726.17857143	-0.00405399
-726.14557823	-0.00389724
-726.11258503	-0.00367143
-726.07959184	-0.00342186
-726.04659864	-0.00305166
-726.01360544	-0.00254994
-725.98061224	-0.00217796
-725.94761905	-0.00169103
-725.91462585	-0.00121179
-725.88163265	-0.00074166
-725.84863946	-0.00029524
-725.81564626	0.00015072
-725.78265306	0.00048958
-725.74965986	0.00091404
-725.71666667	0.00115784
-725.68367347	0.00147726
-725.65068027	0.00170369
-725.61768707	0.00182976
-725.58469388	0.00186463
-725.55170068	0.00188882
-725.51870748	0.00184635
-725.48571429	0.00168877
-725.45272109	0.00152523
-725.41972789	0.00120450
-725.38673469	0.00079633
-725.35374150	0.00033920
-725.32074830	-0.00017708
-725.28775510	-0.00073442
-725.25476190	-0.00146792
-725.22176871	-0.00217711
-725.18877551	-0.00295108
-725.15578231	-0.00384846
-725.12278912	-0.00477649
-725.08979592	-0.00576350
-725.05680272	-0.00678144
-725.02380952	-0.00796566
-724.99081633	-0.00901779
-724.95782313	-0.01020828
-724.92482993	-0.01150102
-724.89183673	-0.01277874
-724.85884354	-0.01403976
-724.82585034	-0.01536158
-724.79285714	-0.01663977
-724.75986395	-0.01778852
-724.72687075	-0.01888851
-724.69387755	-0.01982043
-724.66088435	-0.02051748
-724.62789116	-0.02107220
-724.59489796	-0.02132290
-724.56190476	-0.02126084
-724.52891156	-0.02095020
-724.49591837	-0.02041873
-724.46292517	-0.01970518
-724.42993197	-0.01861616
-724.39693878	-0.01755418
-724.36394558	-0.01628020
-724.33095238	-0.01484678
-724.29795918	-0.01341802
-724.26496599	-0.01200767
-724.23197279	-0.01055392
-724.19897959	-0.00913996
-724.16598639	-0.00782687
-724.13299320	-0.00653654
-724.10000000	-0.00535322
-724.06700680	-0.00435512
-724.03401361	-0.00344422
-724.00102041	-0.00263560
-723.96802721	-0.00194770
-723.93503401	-0.00140476
-723.90204082	-0.00103089
-723.86904762	-0.00071089
-723.83605442	-0.00047111
-723.80306122	-0.00027232
-723.77006803	-0.00008986
-723.73707483	-0.00001017
-723.70408163	0.00021915
-723.67108844	0.00041235
-723.63809524	0.00077439
-723.60510204	0.00113276
-723.57210884	0.00163789
-723.53911565	0.00219527
-723.50612245	0.00304877
-723.47312925	0.00388076
-723.44013605	0.00499316
-723.40714286	0.00631690
-723.37414966	0.00783522
-723.34115646	0.00953288
-723.30816327	0.01166411
