# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -733.80000000 ps, Average over 3000 waveforms. Timestamp: 2025-11-05T15:52:25
# Window type: Tukey, parameters: alpha = 0.1
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Frequency [THz]	THz Signal [a.u.]
3.46476362	-78.90336299
3.47957030	-81.33702027
3.49437699	-83.47292221
3.50918367	-81.97111715
3.52399035	-83.96873291
3.53879703	-95.87961712
3.55360371	-82.22312315
3.56841040	-80.84765779
3.58321708	-84.59178737
3.59802376	-88.92698782
3.61283044	-97.46292641
3.62763713	-90.60706844
3.64244381	-130.08116036
3.65725049	-93.85355094
3.67205717	-106.85136761
3.68686385	-93.85841716
3.70167054	-87.01070058
3.71647722	-85.00369216
3.73128390	-85.12545161
3.74609058	-83.98058377
3.76089726	-84.88616093
3.77570395	-90.15727426
3.79051063	-100.21162278
3.80531731	-94.53939317
3.82012399	-97.41694652
3.83493068	-92.00962933
3.84973736	-85.98755636
3.86454404	-84.06627661
3.87935072	-84.51184920
3.89415740	-86.65572833
3.90896409	-90.62273209
3.92377077	-93.74751129
3.93857745	-94.44444262
3.95338413	-91.68091278
3.96819081	-97.48723173
3.98299750	-95.83120942
3.99780418	-95.09287910
4.01261086	-88.34626720
4.02741754	-87.95489098
4.04222423	-91.33430785
4.05703091	-92.75576240
4.07183759	-93.02194325
4.08664427	-92.85980808
4.10145095	-94.10804092
4.11625764	-105.61367409
4.13106432	-93.57734690
4.14587100	-92.83700970
4.16067768	-90.09444091
4.17548436	-88.48599758
4.19029105	-100.46735249
4.20509773	-95.31349199
4.21990441	-98.41218641
4.23471109	-119.17492013
4.24951778	-96.60975438
4.26432446	-92.38908424
4.27913114	-90.82640232
4.29393782	-93.65805113
4.30874450	-88.18650327
4.32355119	-93.99805244
4.33835787	-89.90587594
4.35316455	-88.58085912
4.36797123	-94.20679800
4.38277791	-89.20991741
4.39758460	-92.48443670
4.41239128	-95.08266344
4.42719796	-91.62918622
4.44200464	-90.08023151
4.45681133	-94.86376201
4.47161801	-93.31707796
4.48642469	-104.31279829
4.50123137	-99.70735684
4.51603805	-98.72857145
4.53084474	-96.10300010
4.54565142	-100.51229550
4.56045810	-88.90502110
4.57526478	-88.38661189
4.59007146	-90.26554982
4.60487815	-92.29156389
4.61968483	-119.83095555
4.63449151	-91.41685545
4.64929819	-89.07617640
4.66410488	-96.17000496
4.67891156	-97.39347821
4.69371824	-97.89579430
4.70852492	-100.30520031
4.72333160	-95.64358747
4.73813829	-94.45035729
4.75294497	-92.32533920
4.76775165	-93.59725485
4.78255833	-96.69064690
4.79736501	-89.21279490
4.81217170	-98.99918120
4.82697838	-86.70843278
4.84178506	-85.82199659
4.85659174	-99.72549506
4.87139843	-93.76695654
4.88620511	-91.91647460
4.90101179	-94.46984184
4.91581847	-99.28154752
4.93062515	-92.87847435
4.94543184	-105.26653208
4.96023852	-89.78594907
4.97504520	-93.48733137
4.98985188	-95.77926441
5.00465856	-95.34470057
5.01946525	-92.77479415
5.03427193	-93.05014910
5.04907861	-101.48142343
5.06388529	-102.93750316
5.07869198	-94.34559636
5.09349866	-100.44788188
5.10830534	-92.22778815
5.12311202	-94.77700638
5.13791870	-95.39843092
5.15272539	-95.91285053
5.16753207	-100.01547416
5.18233875	-97.62324433
5.19714543	-105.18273438
5.21195211	-95.33710933
5.22675880	-89.87658984
