# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 3000 waveforms. Timestamp: 2026-03-04T13:56:22
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-740.00000000	0.00005445
-739.96699670	0.00003286
-739.93399340	-0.00003873
-739.90099010	-0.00000866
-739.86798680	0.00000029
-739.83498350	-0.00000011
-739.80198020	0.00005325
-739.76897690	-0.00005227
-739.73597360	-0.00000571
-739.70297030	-0.00006259
-739.66996700	-0.00001838
-739.63696370	-0.00002322
-739.60396040	-0.00006364
-739.57095710	-0.00003289
-739.53795380	-0.00008132
-739.50495050	-0.00003945
-739.47194719	-0.00004972
-739.43894389	-0.00001161
-739.40594059	-0.00001507
-739.37293729	-0.00001444
-739.33993399	-0.00000369
-739.30693069	0.00001776
-739.27392739	0.00003519
-739.24092409	0.00001548
-739.20792079	0.00001540
-739.17491749	0.00001086
-739.14191419	0.00006615
-739.10891089	0.00004063
-739.07590759	0.00005714
-739.04290429	0.00012203
-739.00990099	0.00010913
-738.97689769	0.00014860
-738.94389439	0.00009414
-738.91089109	0.00015148
-738.87788779	0.00013929
-738.84488449	0.00016623
-738.81188119	0.00013653
-738.77887789	0.00017643
-738.74587459	0.00014592
-738.71287129	0.00017741
-738.67986799	0.00020537
-738.64686469	0.00021305
-738.61386139	0.00022329
-738.58085809	0.00015847
-738.54785479	0.00017287
-738.51485149	0.00018483
-738.48184818	0.00024131
-738.44884488	0.00022934
-738.41584158	0.00019323
-738.38283828	0.00018286
-738.34983498	0.00014186
-738.31683168	0.00013910
-738.28382838	0.00016547
-738.25082508	0.00017454
-738.21782178	0.00017298
-738.18481848	0.00015079
-738.15181518	0.00015406
-738.11881188	0.00017327
-738.08580858	0.00010654
-738.05280528	0.00013659
-738.01980198	0.00013148
-737.98679868	0.00013484
-737.95379538	0.00014089
-737.92079208	0.00014741
-737.88778878	0.00011558
-737.85478548	0.00009717
-737.82178218	0.00011852
-737.78877888	0.00016817
-737.75577558	0.00014837
-737.72277228	0.00017098
-737.68976898	0.00011531
-737.65676568	0.00016684
-737.62376238	0.00019793
-737.59075908	0.00020534
-737.55775578	0.00016530
-737.52475248	0.00018420
-737.49174917	0.00017958
-737.45874587	0.00025076
-737.42574257	0.00026984
-737.39273927	0.00028732
-737.35973597	0.00030865
-737.32673267	0.00025771
-737.29372937	0.00026829
-737.26072607	0.00031679
-737.22772277	0.00031360
-737.19471947	0.00031253
