6.5413E-12  2.0152
6.56E-12	2.042
6.58E-12	2.066
6.60E-12	2.0954
6.62E-12	2.1177
6.64E-12	2.1396
6.66E-12	2.1641
6.68E-12	2.2097
6.70E-12	2.2591
6.72E-12	2.3016
6.73E-12	2.322
6.75E-12	2.3365
6.77E-12	2.3683
6.79E-12	2.4148
6.81E-12	2.4616
6.83E-12	2.4811
6.85E-12	2.4904
6.87E-12	2.5044
6.89E-12	2.5471
6.91E-12	2.6006
6.93E-12	2.6427
6.95E-12	2.6654
6.97E-12	2.6764
6.99E-12	2.6959
7.01E-12	2.7458
7.02E-12	2.809
7.04E-12	2.8706
7.06E-12	2.8976
7.08E-12	2.9266
7.10E-12	2.962
7.12E-12	2.9961
7.14E-12	3.0237
7.16E-12	3.0615
7.18E-12	3.1093
7.20E-12	3.1417
7.22E-12	3.1805
7.24E-12	3.2274
7.26E-12	3.2908
7.28E-12	3.3393
7.30E-12	3.3799
7.31E-12	3.4283
7.33E-12	3.4935
7.35E-12	3.5625
7.37E-12	3.6051
7.39E-12	3.6378
7.41E-12	3.6642
7.43E-12	3.7251
7.45E-12	3.8
7.47E-12	3.8791
7.49E-12	3.9381
7.51E-12	3.9885
7.53E-12	4.036
7.55E-12	4.0829
7.57E-12	4.1237
7.59E-12	4.1883
7.60E-12	4.2545
7.62E-12	4.323
7.64E-12	4.3945
7.66E-12	4.4936
7.68E-12	4.5861
7.70E-12	4.6632
7.72E-12	4.6987
7.74E-12	4.7731
7.76E-12	4.8522
7.78E-12	4.9233
7.80E-12	4.9665
7.82E-12	5.0176
7.84E-12	5.0913
7.86E-12	5.1831
7.88E-12	5.3042
7.89E-12	5.4136
7.91E-12	5.5074
7.93E-12	5.5498
7.95E-12	5.5889
7.97E-12	5.6481
7.99E-12	5.737
8.01E-12	5.8393
8.03E-12	5.926
8.05E-12	6.0033
8.07E-12	6.0834
8.09E-12	6.2044
8.11E-12	6.2866
8.13E-12	6.3491
8.15E-12	6.3825
8.17E-12	6.4118
8.18E-12	6.4383
8.20E-12	6.4946
8.22E-12	6.5718
8.24E-12	6.6526
8.26E-12	6.6937
8.28E-12	6.7323
8.30E-12	6.7801
8.32E-12	6.847
8.34E-12	6.9183
8.36E-12	6.9805
8.38E-12	7.0313
8.40E-12	7.0785
8.42E-12	7.1494
8.44E-12	7.226
8.46E-12	7.3002
8.47E-12	7.3581
8.49E-12	7.4087
8.51E-12	7.4504
8.53E-12	7.4887
8.55E-12	7.5431
8.57E-12	7.6072
8.59E-12	7.6704
8.61E-12	7.7137
8.63E-12	7.7505
8.65E-12	7.7881
8.67E-12	7.8246
8.69E-12	7.8565
8.71E-12	7.9163
8.73E-12	8.0086
8.75E-12	8.1114
8.76E-12	8.1913
8.78E-12	8.2614
8.80E-12	8.3339
8.82E-12	8.411
8.84E-12	8.482
8.86E-12	8.5604
8.88E-12	8.6488
8.90E-12	8.7435
8.92E-12	8.8327
8.94E-12	8.9094
8.96E-12	8.9812
8.98E-12	9.0477
9.00E-12	9.1142
9.02E-12	9.1773
9.04E-12	9.245
9.05E-12	9.3209
9.07E-12	9.4093
9.09E-12	9.4693
9.11E-12	9.5175
9.13E-12	9.5538
9.15E-12	9.6238
9.17E-12	9.7013
9.19E-12	9.769
9.21E-12	9.8072
9.23E-12	9.8209
9.25E-12	9.8597
9.27E-12	9.9149
9.29E-12	9.9777
9.31E-12	10.03
9.33E-12	10.084
9.34E-12	10.131
9.36E-12	10.151
9.38E-12	10.163
9.40E-12	10.187
9.42E-12	10.222
9.44E-12	10.245
9.46E-12	10.262
9.48E-12	10.289
9.50E-12	10.34
9.52E-12	10.389
9.54E-12	10.405
9.56E-12	10.389
9.58E-12	10.36
9.60E-12	10.344
9.62E-12	10.368
9.63E-12	10.401
9.65E-12	10.429
9.67E-12	10.416
9.69E-12	10.402
9.71E-12	10.409
9.73E-12	10.445
9.75E-12	10.506
9.77E-12	10.513
9.79E-12	10.492
9.81E-12	10.441
9.83E-12	10.502
9.85E-12	10.578
9.87E-12	10.643
9.89E-12	10.659
9.91E-12	10.69
9.92E-12	10.75
9.94E-12	10.825
9.96E-12	10.879
9.98E-12	10.91
1.00E-11	10.941
1.00E-11	10.988
1.00E-11	11.061
1.01E-11	11.134
1.01E-11	11.193
1.01E-11	11.239
1.01E-11	11.305
1.01E-11	11.403
1.02E-11	11.5
1.02E-11	11.578
1.02E-11	11.641
1.02E-11	11.713
1.02E-11	11.811
1.03E-11	11.929
1.03E-11	12.06
1.03E-11	12.175
1.03E-11	12.278
1.03E-11	12.359
1.04E-11	12.448
1.04E-11	12.547
1.04E-11	12.655
1.04E-11	12.762
1.04E-11	12.871
1.04E-11	12.975
1.05E-11	13.077
1.05E-11	13.194
1.05E-11	13.315
1.05E-11	13.421
1.05E-11	13.505
1.06E-11	13.59
1.06E-11	13.679
1.06E-11	13.766
1.06E-11	13.851
1.06E-11	13.921
1.07E-11	13.969
1.07E-11	14.026
1.07E-11	14.11
1.07E-11	14.211
1.07E-11	14.281
1.08E-11	14.313
1.08E-11	14.327
1.08E-11	14.383
1.08E-11	14.468
1.08E-11	14.547
1.09E-11	14.585
1.09E-11	14.624
1.09E-11	14.682
1.09E-11	14.743
1.09E-11	14.789
1.09E-11	14.815
1.10E-11	14.827
1.10E-11	14.84
1.10E-11	14.873
1.10E-11	14.935
1.10E-11	14.982
1.11E-11	15.011
1.11E-11	15.037
1.11E-11	15.078
1.11E-11	15.118
1.11E-11	15.152
1.12E-11	15.162
1.12E-11	15.188
1.12E-11	15.224
