# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-04T14:27:35
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-732.44224422	0.00088392
-732.40924092	0.00097724
-732.37623762	0.00104495
-732.34323432	0.00109606
-732.31023102	0.00122715
-732.27722772	0.00137991
-732.24422442	0.00148163
-732.21122112	0.00160797
-732.17821782	0.00172952
-732.14521452	0.00172469
-732.11221122	0.00198797
-732.07920792	0.00188087
-732.04620462	0.00194916
-732.01320132	0.00200203
-731.98019802	0.00189432
-731.94719472	0.00174668
-731.91419142	0.00162484
-731.88118812	0.00125825
-731.84818482	0.00085286
-731.81518152	0.00028292
-731.78217822	-0.00046331
-731.74917492	-0.00127704
-731.71617162	-0.00216917
-731.68316832	-0.00314649
-731.65016502	-0.00409673
-731.61716172	-0.00504772
-731.58415842	-0.00578778
-731.55115512	-0.00638692
-731.51815182	-0.00656593
-731.48514851	-0.00662497
-731.45214521	-0.00633789
-731.41914191	-0.00567542
-731.38613861	-0.00493207
-731.35313531	-0.00402717
-731.32013201	-0.00294930
-731.28712871	-0.00198939
-731.25412541	-0.00101998
-731.22112211	-0.00015062
-731.18811881	0.00055669
-731.15511551	0.00120795
-731.12211221	0.00178518
-731.08910891	0.00211478
-731.05610561	0.00226570
-731.02310231	0.00241157
-730.99009901	0.00255054
-730.95709571	0.00245646
-730.92409241	0.00245430
-730.89108911	0.00237111
-730.85808581	0.00222160
-730.82508251	0.00226517
-730.79207921	0.00202669
-730.75907591	0.00182060
-730.72607261	0.00170661
-730.69306931	0.00150325
-730.66006601	0.00124701
-730.62706271	0.00132453
-730.59405941	0.00100065
-730.56105611	0.00099465
-730.52805281	0.00094103
-730.49504950	0.00086961
-730.46204620	0.00085755
-730.42904290	0.00073694
-730.39603960	0.00075845
-730.36303630	0.00056786
-730.33003300	0.00047285
-730.29702970	0.00030468
-730.26402640	0.00010194
