# Frequency(Hz) Real(n) Imag(n)
7.422047928339720154e+10 2.278047622080728640e+00 4.738807445650550232e-02
7.579963841708650208e+10 2.271423859659283728e+00 5.998676805344564655e-02
7.737879755077580261e+10 2.266126806071466326e+00 7.539122887682828122e-02
7.895795668446510315e+10 2.261872981326498167e+00 9.581705806680004822e-02
8.053711581815441895e+10 2.255310648183287636e+00 1.256339586792740437e-01
8.211627495184371948e+10 2.234347183131471848e+00 1.623715924902424390e-01
8.369543408553302002e+10 2.388174414861104378e+00 4.813267183088502238e-02
8.527459321922232056e+10 2.372004455382876742e+00 2.428858249953162393e-02
8.685375235291162109e+10 2.355956856583842018e+00 6.405098452630534310e-03
8.843291148660092163e+10 2.339561293292452326e+00 -7.208010085123165399e-03
9.001207062029022217e+10 2.322843207041640490e+00 -1.736524103006646669e-02
9.159122975397952271e+10 2.306001021143581298e+00 -2.448471137798681821e-02
9.317038888766882324e+10 2.289333006466760079e+00 -2.882453980452998402e-02
9.474954802135813904e+10 2.273195342300193822e+00 -3.061677417832792125e-02
9.632870715504743958e+10 2.257948869787177237e+00 -3.014060060987365855e-02
9.790786628873674011e+10 2.243898484549444294e+00 -2.774269193513201684e-02
9.948702542242604065e+10 2.231245576433392497e+00 -2.381323000572044615e-02
1.010661845561153412e+11 2.220070705039786763e+00 -1.873765867917633748e-02
1.026453436898046417e+11 2.210348364470367422e+00 -1.284857803205209474e-02
1.042245028234939423e+11 2.201981899198246051e+00 -6.394083136025092290e-03
1.058036619571832428e+11 2.194843127308854225e+00 4.744543386664954224e-04
1.073828210908725433e+11 2.188806322996801779e+00 7.701811694064191784e-03
1.089619802245618591e+11 2.183773510913347593e+00 1.532582231423727966e-02
1.105411393582511597e+11 2.179693298142641567e+00 2.348301578765117290e-02
1.121202984919404602e+11 2.176577945248590495e+00 3.243863009750456300e-02
1.136994576256297607e+11 2.174522236976964340e+00 4.267626924958219103e-02
1.152786167593190613e+11 2.173705103698600372e+00 5.516024813216724443e-02
1.168577758930083618e+11 2.174088884126793797e+00 7.221852535911785220e-02
1.184369350266976624e+11 2.171172777447234914e+00 9.928922223252177603e-02
1.200160941603869629e+11 2.265498412122209260e+00 5.476034108868353678e-02
1.215952532940762634e+11 2.258386802770277146e+00 3.307648512956573583e-02
1.231744124277655792e+11 2.250966677924564951e+00 1.726451031275315351e-02
1.247535715614548798e+11 2.242620260220100192e+00 4.951246928298892042e-03
1.263327306951441803e+11 2.233380589984144571e+00 -4.799246368530597599e-03
1.279118898288334808e+11 2.223393187789464598e+00 -1.236862288881226263e-02
1.294910489625227814e+11 2.212870844092725608e+00 -1.790185649715599070e-02
1.310702080962120819e+11 2.202095167979273072e+00 -2.146197636343347495e-02
1.326493672299013824e+11 2.191400592541423276e+00 -2.312711439386980206e-02
1.342285263635906830e+11 2.181131172775572669e+00 -2.304704878199228743e-02
1.358076854972799835e+11 2.171583909097540843e+00 -2.145532897836435748e-02
1.373868446309692993e+11 2.162963540267721640e+00 -1.864113665216647620e-02
1.389660037646585999e+11 2.155367239894958153e+00 -1.490043459716024546e-02
1.405451628983479004e+11 2.148799813446362172e+00 -1.049044001820387435e-02
1.421243220320372009e+11 2.143206186717537598e+00 -5.601825722691826902e-03
1.437034811657265015e+11 2.138506206336856064e+00 -3.493981453034731427e-04
1.452826402994158020e+11 2.134623172923484358e+00 5.226369849231483553e-03
1.468617994331051025e+11 2.131504878179828477e+00 1.115661537775367029e-02
1.484409585667944031e+11 2.129140784545803022e+00 1.754985092052250076e-02
1.500201177004837036e+11 2.127582072444970773e+00 2.461993368581272268e-02
1.515992768341730042e+11 2.126974889649027922e+00 3.277036586316872668e-02
1.531784359678623047e+11 2.127616498362087771e+00 4.286037953729539968e-02
1.547575951015516052e+11 2.129844235552090570e+00 5.731124678761449764e-02
1.563367542352409058e+11 2.127631721616961347e+00 8.308259728328522276e-02
1.579159133689302063e+11 2.192269182432839081e+00 3.900669558653352409e-02
1.594950725026195374e+11 2.189167045249748256e+00 2.362197078859316901e-02
1.610742316363088379e+11 2.184916548301519157e+00 1.216328511196812685e-02
1.626533907699981384e+11 2.179602966791602814e+00 3.046660857728230101e-03
1.642325499036874390e+11 2.173384487997986891e+00 -4.301485824684875801e-03
1.658117090373767395e+11 2.166418203536865317e+00 -1.008616220751307538e-02
1.673908681710660400e+11 2.158893702995499986e+00 -1.435474289442277215e-02
1.689700273047553406e+11 2.151054553555791671e+00 -1.710634390008104744e-02
1.705491864384446411e+11 2.143191124621806054e+00 -1.836689866692066755e-02
1.721283455721339417e+11 2.135604168418329785e+00 -1.823491070341816747e-02
1.737075047058232422e+11 2.128554241239719147e+00 -1.688961434225756328e-02
1.752866638395125427e+11 2.122221275845067812e+00 -1.456363783144469168e-02
1.768658229732018433e+11 2.116691633870821487e+00 -1.149800360611407009e-02
1.784449821068911438e+11 2.111972610199526201e+00 -7.901467858179904435e-03
1.800241412405804443e+11 2.108021695549676000e+00 -3.926670938917511608e-03
1.816033003742697449e+11 2.104777035103983618e+00 3.371441919067921030e-04
1.831824595079590454e+11 2.102181964605489561e+00 4.862265606870444686e-03
1.847616186416483459e+11 2.100203326749968902e+00 9.680210277351625897e-03
1.863407777753376465e+11 2.098847764505546554e+00 1.488750187123938883e-02
1.879199369090269775e+11 2.098183907296836903e+00 2.067213877155119756e-02
1.894990960427162781e+11 2.098386031516646710e+00 2.739468162041927210e-02
1.910782551764055786e+11 2.099835113377760187e+00 3.586256305793186078e-02
1.926574143100948792e+11 2.103202431826261876e+00 4.872282372133273504e-02
1.942365734437841797e+11 2.099372901450064166e+00 7.367481226800703942e-02
1.958157325774734802e+11 2.149108876410659175e+00 2.869653913980516405e-02
1.973948917111627808e+11 2.147382898855148881e+00 1.712469638177898171e-02
1.989740508448520813e+11 2.144382930632678264e+00 8.300263614712881724e-03
2.005532099785413818e+11 2.140382706458522577e+00 1.210585694618495018e-03
2.021323691122306824e+11 2.135568036639177159e+00 -4.496652714714126711e-03
2.037115282459199829e+11 2.130104537860220137e+00 -8.928630818994412119e-03
2.052906873796092834e+11 2.124185239726115615e+00 -1.209463489394586866e-02
2.068698465132985840e+11 2.118047244255517381e+00 -1.399068561567921691e-02
2.084490056469878845e+11 2.111956791910520437e+00 -1.465744409861462552e-02
2.100281647806771851e+11 2.106170031226600070e+00 -1.420828699988632877e-02
2.116073239143664856e+11 2.100889133921334473e+00 -1.282204216820598958e-02
2.131864830480557861e+11 2.096235781679486543e+00 -1.070890178056108782e-02
2.147656421817450867e+11 2.092251625600342724e+00 -8.069559402442609206e-03
2.163448013154343872e+11 2.088919248439436327e+00 -5.065167780565968392e-03
2.179239604491237183e+11 2.086190200364021141e+00 -1.803989217975481181e-03
2.195031195828130188e+11 2.084009979017596770e+00 1.659373023619101261e-03
2.210822787165023193e+11 2.082336675169287332e+00 5.319789512606041063e-03
2.226614378501916199e+11 2.081155303280478375e+00 9.219509539167830905e-03
2.242405969838809204e+11 2.080493228944855666e+00 1.345489355147556389e-02
2.258197561175702209e+11 2.080446830000137304e+00 1.820363425034932092e-02
2.273989152512595215e+11 2.081244834944067090e+00 2.380852373786381329e-02
2.289780743849488220e+11 2.083440495796708092e+00 3.108773850723221127e-02
2.305572335186381226e+11 2.088577527179841464e+00 4.357372827171539231e-02
2.321363926523274231e+11 2.119972535312499407e+00 3.272957517204162087e-02
2.337155517860167236e+11 2.120554763795332587e+00 1.992768928834990835e-02
2.352947109197060242e+11 2.119206826209476535e+00 1.117999617812028348e-02
2.368738700533953247e+11 2.116664808510682505e+00 4.384764185381050984e-03
2.384530291870846252e+11 2.113265275078698213e+00 -1.049315482211343005e-03
2.400321883207739258e+11 2.109217790141964866e+00 -5.331228111404091169e-03
2.416113474544632263e+11 2.104707131834784750e+00 -8.530143079832018180e-03
2.431905065881525269e+11 2.099929835197494210e+00 -1.067337062683103473e-02
2.447696657218418274e+11 2.095096141182327454e+00 -1.180180367594772795e-02
2.463488248555311584e+11 2.090409756632275684e+00 -1.199876693109529213e-02
2.479279839892204590e+11 2.086039641065918993e+00 -1.139282952460289253e-02
2.495071431229097595e+11 2.082099370476707900e+00 -1.013959067539520892e-02
2.510863022565990601e+11 2.078643099212324596e+00 -8.394738358391221761e-03
2.526654613902883606e+11 2.075676734143125479e+00 -6.291095555057714221e-03
2.542446205239776611e+11 2.073176533404822663e+00 -3.925995334545922047e-03
2.558237796576669617e+11 2.071107619050950532e+00 -1.358248449013144425e-03
2.574029387913562622e+11 2.069438770216253776e+00 1.389602206302065690e-03
2.589820979250455627e+11 2.068153657722925587e+00 4.328331948667812207e-03
2.605612570587348633e+11 2.067261200147929578e+00 7.502258635766271590e-03
2.621404161924241638e+11 2.066810104967356843e+00 1.099703403039362787e-02
2.637195753261134644e+11 2.066918468187752378e+00 1.496432338902981864e-02
2.652987344598027649e+11 2.067851422291922869e+00 1.969401215351984299e-02
2.668778935934920654e+11 2.070298561313222763e+00 2.588348784519659343e-02
2.684570527271813660e+11 2.077509091984313105e+00 3.705124887020203733e-02
2.700362118608706665e+11 2.097713125256765121e+00 2.495917909754558073e-02
2.716153709945599670e+11 2.098868662355345194e+00 1.524900236420236727e-02
