# Menlo Systems GmbH ScanControl
# Program Version 1.14.3
# Start: -740.00000000 ps, Average over 1000 waveforms. Timestamp: 2026-02-12T12:57:54
# User time axis shift: 0 ps
# Time axis offset: 0 ps
# Time [ps]	THz Signal [a.u.]
-732.47524752	0.00097674
-732.44224422	0.00100781
-732.40924092	0.00108775
-732.37623762	0.00118818
-732.34323432	0.00143631
-732.31023102	0.00138259
-732.27722772	0.00148147
-732.24422442	0.00166421
-732.21122112	0.00175788
-732.17821782	0.00183781
-732.14521452	0.00181596
-732.11221122	0.00195349
-732.07920792	0.00196456
-732.04620462	0.00184916
-732.01320132	0.00171657
-731.98019802	0.00137582
-731.94719472	0.00099715
-731.91419142	0.00023161
-731.88118812	-0.00053077
-731.84818482	-0.00144414
-731.81518152	-0.00267111
-731.78217822	-0.00381983
-731.74917492	-0.00504858
-731.71617162	-0.00623326
-731.68316832	-0.00708507
-731.65016502	-0.00763457
-731.61716172	-0.00770788
-731.58415842	-0.00758106
-731.55115512	-0.00698632
-731.51815182	-0.00589828
-731.48514851	-0.00464007
-731.45214521	-0.00321413
-731.41914191	-0.00178768
-731.38613861	-0.00061278
-731.35313531	0.00047090
-731.32013201	0.00145454
-731.28712871	0.00202406
-731.25412541	0.00249444
-731.22112211	0.00276668
-731.18811881	0.00292017
-731.15511551	0.00283493
-731.12211221	0.00283970
-731.08910891	0.00256367
-731.05610561	0.00243192
-731.02310231	0.00216567
-730.99009901	0.00204803
-730.95709571	0.00177110
-730.92409241	0.00157703
-730.89108911	0.00154738
-730.85808581	0.00139728
-730.82508251	0.00114867
-730.79207921	0.00105427
-730.75907591	0.00095634
-730.72607261	0.00082487
-730.69306931	0.00079054
-730.66006601	0.00068579
-730.62706271	0.00080428
-730.59405941	0.00058369
-730.56105611	0.00064724
-730.52805281	0.00053533
-730.49504950	0.00044761
-730.46204620	0.00040750
-730.42904290	0.00022628
-730.39603960	0.00023967
-730.36303630	0.00008964
-730.33003300	0.00006895
-730.29702970	-0.00012093
-730.26402640	-0.00012457
-730.23102310	-0.00016109
-730.19801980	-0.00019762
-730.16501650	-0.00029285
-730.13201320	-0.00019538
-730.09900990	-0.00015554
-730.06600660	-0.00013836
-730.03300330	-0.00005615
-730.00000000	-0.00008995
-729.96699670	0.00002198
-729.93399340	-0.00003072
-729.90099010	0.00002989
-729.86798680	-0.00004663
-729.83498350	-0.00002505
-729.80198020	-0.00005050
-729.76897690	-0.00023457
-729.73597360	-0.00027929
-729.70297030	-0.00025040
-729.66996700	-0.00032354
-729.63696370	-0.00031815
-729.60396040	-0.00032004
-729.57095710	-0.00032220
-729.53795380	-0.00021799
-729.50495050	-0.00017681
-729.47194719	-0.00006630
-729.43894389	-0.00001351
-729.40594059	0.00008167
-729.37293729	0.00010829
-729.33993399	0.00016501
-729.30693069	0.00014666
-729.27392739	0.00003700
-729.24092409	-0.00016194
-729.20792079	-0.00026051
-729.17491749	-0.00061974
-729.14191419	-0.00085454
-729.10891089	-0.00128790
-729.07590759	-0.00174160
-729.04290429	-0.00208620
-729.00990099	-0.00240629
-728.97689769	-0.00277253
-728.94389439	-0.00304932
-728.91089109	-0.00326735
-728.87788779	-0.00328286
-728.84488449	-0.00350094
-728.81188119	-0.00347832
-728.77887789	-0.00367692
-728.74587459	-0.00369036
-728.71287129	-0.00422739
-728.67986799	-0.00468992
-728.64686469	-0.00545761
-728.61386139	-0.00650319
-728.58085809	-0.00759335
-728.54785479	-0.00891505
-728.51485149	-0.01014474
-728.48184818	-0.01122030
-728.44884488	-0.01197828
-728.41584158	-0.01230358
-728.38283828	-0.01191294
-728.34983498	-0.01081531
-728.31683168	-0.00921356
-728.28382838	-0.00678163
-728.25082508	-0.00406701
-728.21782178	-0.00131084
-728.18481848	0.00139595
-728.15181518	0.00340455
-728.11881188	0.00498177
-728.08580858	0.00572883
-728.05280528	0.00585917
-728.01980198	0.00541176
-727.98679868	0.00485716
-727.95379538	0.00418686
-727.92079208	0.00374236
-727.88778878	0.00341785
-727.85478548	0.00360621
-727.82178218	0.00400545
-727.78877888	0.00443895
-727.75577558	0.00512815
-727.72277228	0.00573693
-727.68976898	0.00637944
-727.65676568	0.00672341
-727.62376238	0.00678216
-727.59075908	0.00662528
-727.55775578	0.00609074
-727.52475248	0.00508449
-727.49174917	0.00407286
-727.45874587	0.00280373
-727.42574257	0.00159838
-727.39273927	0.00024024
-727.35973597	-0.00094010
-727.32673267	-0.00219167
-727.29372937	-0.00315041
-727.26072607	-0.00415353
-727.22772277	-0.00485049
-727.19471947	-0.00554599
-727.16171617	-0.00621233
-727.12871287	-0.00691316
-727.09570957	-0.00789948
-727.06270627	-0.00913885
-727.02970297	-0.01085310
-726.99669967	-0.01289197
-726.96369637	-0.01547599
-726.93069307	-0.01863017
-726.89768977	-0.02178479
-726.86468647	-0.02504848
-726.83168317	-0.02802562
-726.79867987	-0.03015669
-726.76567657	-0.03125526
-726.73267327	-0.03086171
-726.69966997	-0.02895673
-726.66666667	-0.02517279
-726.63366337	-0.02008344
-726.60066007	-0.01408858
-726.56765677	-0.00739573
-726.53465347	-0.00125947
-726.50165017	0.00413273
-726.46864686	0.00796549
-726.43564356	0.01035567
-726.40264026	0.01110610
-726.36963696	0.01051968
-726.33663366	0.00932090
-726.30363036	0.00761968
-726.27062706	0.00594289
-726.23762376	0.00431129
-726.20462046	0.00291943
-726.17161716	0.00181896
-726.13861386	0.00093179
-726.10561056	0.00030900
-726.07260726	0.00007696
-726.03960396	0.00012657
-726.00660066	0.00064116
-725.97359736	0.00127008
-725.94059406	0.00213214
-725.90759076	0.00297115
-725.87458746	0.00379055
-725.84158416	0.00480227
-725.80858086	0.00587533
-725.77557756	0.00724690
-725.74257426	0.00862440
-725.70957096	0.01037795
-725.67656766	0.01214476
-725.64356436	0.01418884
-725.61056106	0.01636344
-725.57755776	0.01875739
-725.54455446	0.02155793
-725.51155116	0.02457658
-725.47854785	0.02806491
-725.44554455	0.03205969
-725.41254125	0.03678176
-725.37953795	0.04207252
-725.34653465	0.04818095
-725.31353135	0.05504579
-725.28052805	0.06256094
-725.24752475	0.07101933
-725.21452145	0.07993215
-725.18151815	0.08962924
-725.14851485	0.09976575
-725.11551155	0.11025898
-725.08250825	0.12105048
-725.04950495	0.13166231
-725.01650165	0.14238781
-724.98349835	0.15277693
-724.95049505	0.16299634
-724.91749175	0.17301850
-724.88448845	0.18308437
-724.85148515	0.19349138
-724.81848185	0.20443505
-724.78547855	0.21665642
-724.75247525	0.23030740
-724.71947195	0.24649226
-724.68646865	0.26526024
-724.65346535	0.28749056
-724.62046205	0.31353512
-724.58745875	0.34386438
-724.55445545	0.37823109
-724.52145215	0.41685969
-724.48844884	0.45860065
-724.45544554	0.50272814
-724.42244224	0.54775792
-724.38943894	0.59182464
-724.35643564	0.63281042
-724.32343234	0.66763371
-724.29042904	0.69376888
-724.25742574	0.70790558
-724.22442244	0.70730543
-724.19141914	0.68945438
-724.15841584	0.65263547
-724.12541254	0.59623720
-724.09240924	0.52082272
